"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","consortium[berd]","consortium[daphne4nfdi]","consortium[dataplant]","consortium[fairagro]","consortium[fairmat]","consortium[ghga]","consortium[konsortswd]","consortium[mardi]","consortium[nfdi4biodiversity]","consortium[nfdi4bioimage]","consortium[nfdi4cat]","consortium[nfdi4chem]","consortium[nfdi4culture]","consortium[nfdi4datascience]","consortium[nfdi4earth]","consortium[nfdi4energy]","consortium[nfdi4health]","consortium[nfdi4immuno]","consortium[nfdi4ing]","consortium[nfdimatwerk]","consortium[nfdi4memory]","consortium[nfdi4microbiota]","consortium[nfdi4objects]","consortium[nfdixcs]","consortium[punch4nfdi]","consortium[text]","consortium[other]","role[developer]","role[researcher]","role[steward]","role[administrator]","role[manage]","role[unsure]","role[other]","solutions[build]","solutions[buildcomment]","solutions[link]","solutions[linkcomment]","solutions[structure]","solutions[structurecomment]","solutions[informed]","solutions[informedcomment]","solutions[uninterested]","solutions[uninterestedcomment]","solutions[other]","solutions[othercomment]","sustain[none]","sustain[hope]","sustain[community]","sustain[we]","sustain[other]","disseminate[socialmedia]","disseminate[webpage]","disseminate[publication]","disseminate[other]","metadata[codemeta]","metadata[citationcff]","metadata[zenodojson]","metadata[other]","ontologies","sourcecode[none]","sourcecode[private]","sourcecode[gitlab]","sourcecode[github]","sourcecode[unsure]","sourcecode[other]"
"3","","","en","1373688864","2025-03-03 10:24:40","2025-03-03 10:24:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","","2","en","1224941926","2025-03-03 10:27:47","2025-03-03 10:29:18","","","","","","","","","","","","","","","","","","","","","","","","","","","Base","","","","","","","unsure","Y","","","","","","","","","","","","","","","","test","","","","","","","","","","","","","","","test"
"9","","","en","225193067","2025-03-03 11:16:45","2025-03-03 11:16:45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","","","en","731973258","2025-03-03 11:17:30","2025-03-03 11:17:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","","","en","75363505","2025-03-03 11:17:37","2025-03-03 11:17:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12","2025-03-03 11:47:58","3","en","1231948694","2025-03-03 11:17:44","2025-03-03 11:47:58","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","","Y","Y","","","","","Y","You don't say what counts as market place. We use GitHub and GitHub-Zenodo integration.","","","","","","","","","Y","Y","Y","Y","","Y","Y","Y","Conferences, Talks","","Y","Y","","Whatever is used by established formats (ORCID, ROR, DCT).","","","","Y","",""
"13","","","en","1257134550","2025-03-03 11:19:55","2025-03-03 11:19:55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","","1","en","1350825248","2025-03-03 11:25:17","2025-03-03 11:25:31","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","","","en","1592833058","2025-03-03 11:56:26","2025-03-03 11:56:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","","","en","1576984560","2025-03-03 12:45:39","2025-03-03 12:45:39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","","1","en","346309586","2025-03-03 13:04:09","2025-03-03 13:04:31","","","","","","","","","Y","","","","","","Y","","","","","","","","","","","","","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","","1","en","1937317176","2025-03-03 13:59:29","2025-03-03 13:59:45","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","","","en","1342113032","2025-03-03 15:43:37","2025-03-03 15:43:37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","","","en","1182637449","2025-03-03 15:58:41","2025-03-03 15:58:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","","","en","1465521742","2025-03-03 19:18:41","2025-03-03 19:18:41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","","0","en","1502126709","2025-03-04 07:17:02","2025-03-04 07:17:11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","2025-03-04 09:17:06","3","en","1060284714","2025-03-04 09:13:55","2025-03-04 09:17:06","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","Y","","Y","","","Service Steward","Y","","","","","","","","","","","","","","","Y","","","","Y","","","Y","","","EDAM,bioschemas,RO-Crate","","","","Y","",""
"26","","","en","1255570135","2025-03-04 09:36:15","2025-03-04 09:36:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","","1","en","607550331","2025-03-04 09:40:17","2025-03-04 09:41:03","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","2025-03-04 09:52:42","3","en","1823998022","2025-03-04 09:46:36","2025-03-04 09:52:42","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","Y","started linking or updating tool information and including it in this domain, but ran in to problems due to domain editing rights being restricted to 1 user, solution not found: https://bio.tools/t?domain=nfdi4microbiota ","Y","streamlining with bio.tools and Bioschemas profiles","Y","open for concrete suggestions","","","","","","Y","Y","Y","The approaches may differ depending on the specific service","","Y","Y","","","","","looking at https://bioschemas.org/profiles/ComputationalTool/1.0-RELEASE","EDAM, others may apply","","Y","Y","Y","","Approaches may differ depending on service"
"29","","","en","1764715292","2025-03-04 12:37:23","2025-03-04 12:37:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","2025-03-05 10:15:04","3","en","1304676296","2025-03-05 10:12:18","2025-03-05 10:15:04","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","","","","","Y","","","","Y","","","","","","","","","Y","","","unsure","Y","Y","Y","","","","","","","","","Y","Y","",""
"31","","1","en","115766199","2025-03-05 10:28:00","2025-03-05 10:28:27","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","","1","en","208194509","2025-03-05 10:28:18","2025-03-05 10:28:58","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","2025-03-05 11:10:51","3","en","1615038268","2025-03-05 10:28:31","2025-03-05 11:10:51","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","can't tell","","","","","","","","","","","","","","","don't know"
"34","","1","en","517895323","2025-03-05 10:28:34","2025-03-05 10:30:47","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","","","en","1239167385","2025-03-05 10:29:09","2025-03-05 10:29:09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","","","en","433855690","2025-03-05 10:29:42","2025-03-05 10:29:42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","","1","en","2011664676","2025-03-05 10:35:29","2025-03-05 10:35:54","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","Y","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","2025-03-05 10:47:06","3","en","1972790274","2025-03-05 10:39:44","2025-03-05 10:47:06","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","We have different tools and services we would like to offer to a wider audience. Our involved workflow system Galaxy pretty much already handles the market place stuff.","","","","","","","","","Y","Y","DataPLANT advocates an open contribution and collaboration model. We are enabling the community to work following open source software development principles. We are trying to setup some basic framework to support that.","","Y","Y","Public services like GitHUB","","","","","","","","","Y","",""
"39","","","en","1945346257","2025-03-05 10:51:46","2025-03-05 10:51:46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","2025-03-05 15:40:32","3","en","1772463327","2025-03-05 15:34:11","2025-03-05 15:40:32","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","Y","","","Y","","","Y","At the moment, this is just an overview website showcasing all the services relevant for our individual task areas.","","","","","","","","","","","","Y","","Y","At least in parts commitment from participating institutions to further develop and maintain services and software beyond the life-time of the consortium. In addition, there's the hope/wish to develop some semblance of community to ensure widespread use and development beyond the consortium.","","Y","Y","Conferences, workshops, summer/winter schools,...","Y","Y","","","","","Y","","Y","",""
"41","","","en","312899067","2025-03-05 15:49:40","2025-03-05 15:49:40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","","1","en","1471253922","2025-03-05 22:27:20","2025-03-05 22:28:59","","","","","","","","","","","","","","","","","","","","","","","","","","","NFDI4RamenNoodles","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","","0","en","839046751","2025-03-06 07:32:49","2025-03-06 07:33:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","2025-03-06 08:33:11","3","en","269049485","2025-03-06 08:30:30","2025-03-06 08:33:11","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","Y","Y","","","Y","Y","Y","","","","","unsure, as I am not involved in the actual development","unsure as I am not involved in the actual development","","","Y","Y","",""
"45","","1","en","353571651","2025-03-06 08:50:40","2025-03-06 08:51:07","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","","1","en","135928332","2025-03-06 09:00:58","2025-03-06 09:01:24","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","","1","en","686790493","2025-03-06 09:02:26","2025-03-06 09:02:42","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","","1","en","1713843740","2025-03-06 09:06:58","2025-03-06 10:25:46","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","","1","en","1768118242","2025-03-06 09:11:35","2025-03-06 09:11:58","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","1","en","550922429","2025-03-06 09:40:31","2025-03-06 09:44:48","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","","1","en","1099207109","2025-03-06 09:49:02","2025-03-06 09:49:15","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","2025-03-06 09:57:24","3","en","221541114","2025-03-06 09:55:56","2025-03-06 09:57:24","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","Y","","Y","","","","","","","","","","","","Y","","","","","","Y","","","Y","","","","","","","Y","Y","",""
"53","2025-03-06 10:18:09","3","en","84413829","2025-03-06 10:12:51","2025-03-06 10:18:09","","","","","","","","","","","","Y","Y","","","","","","","","Y","","Y","","","","","","Y","","Y","Y","","","Y","we have a gitHub organisation (NFDI4Chem)","","","","","Y","","","","","","","","","Y","","Y","Y","Y","conference presentations and expert discussions","","","","","","","","Y","Y","",""
