"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","consortium[berd]","consortium[daphne4nfdi]","consortium[dataplant]","consortium[fairagro]","consortium[fairmat]","consortium[ghga]","consortium[konsortswd]","consortium[mardi]","consortium[nfdi4biodiversity]","consortium[nfdi4bioimage]","consortium[nfdi4cat]","consortium[nfdi4chem]","consortium[nfdi4culture]","consortium[nfdi4datascience]","consortium[nfdi4earth]","consortium[nfdi4energy]","consortium[nfdi4health]","consortium[nfdi4immuno]","consortium[nfdi4ing]","consortium[nfdimatwerk]","consortium[nfdi4memory]","consortium[nfdi4microbiota]","consortium[nfdi4objects]","consortium[nfdixcs]","consortium[punch4nfdi]","consortium[text]","consortium[other]","role[developer]","role[researcher]","role[steward]","role[administrator]","role[manage]","role[unsure]","role[other]","solutions[build]","solutions[buildcomment]","solutions[link]","solutions[linkcomment]","solutions[structure]","solutions[structurecomment]","solutions[informed]","solutions[informedcomment]","solutions[uninterested]","solutions[uninterestedcomment]","solutions[other]","solutions[othercomment]","sustain[none]","sustain[hope]","sustain[community]","sustain[we]","sustain[other]","disseminate[socialmedia]","disseminate[webpage]","disseminate[publication]","disseminate[other]","metadata[codemeta]","metadata[citationcff]","metadata[zenodojson]","metadata[other]","ontologies","sourcecode[none]","sourcecode[private]","sourcecode[gitlab]","sourcecode[github]","sourcecode[unsure]","sourcecode[other]"
"12","2025-03-03 11:47:58","3","en","1231948694","2025-03-03 11:17:44","2025-03-03 11:47:58","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","","Y","Y","","","","","Y","You don't say what counts as market place. We use GitHub and GitHub-Zenodo integration.","","","","","","","","","Y","Y","Y","Y","","Y","Y","Y","Conferences, Talks","","Y","Y","","Whatever is used by established formats (ORCID, ROR, DCT).","","","","Y","",""
"25","2025-03-04 09:17:06","3","en","1060284714","2025-03-04 09:13:55","2025-03-04 09:17:06","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","Y","","Y","","","Service Steward","Y","","","","","","","","","","","","","","","Y","","","","Y","","","Y","","","EDAM,bioschemas,RO-Crate","","","","Y","",""
"28","2025-03-04 09:52:42","3","en","1823998022","2025-03-04 09:46:36","2025-03-04 09:52:42","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","Y","started linking or updating tool information and including it in this domain, but ran in to problems due to domain editing rights being restricted to 1 user, solution not found: https://bio.tools/t?domain=nfdi4microbiota ","Y","streamlining with bio.tools and Bioschemas profiles","Y","open for concrete suggestions","","","","","","Y","Y","Y","The approaches may differ depending on the specific service","","Y","Y","","","","","looking at https://bioschemas.org/profiles/ComputationalTool/1.0-RELEASE","EDAM, others may apply","","Y","Y","Y","","Approaches may differ depending on service"
"30","2025-03-05 10:15:04","3","en","1304676296","2025-03-05 10:12:18","2025-03-05 10:15:04","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","","","","","Y","","","","Y","","","","","","","","","Y","","","unsure","Y","Y","Y","","","","","","","","","Y","Y","",""
"33","2025-03-05 11:10:51","3","en","1615038268","2025-03-05 10:28:31","2025-03-05 11:10:51","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","can't tell","","","","","","","","","","","","","","","don't know"
"38","2025-03-05 10:47:06","3","en","1972790274","2025-03-05 10:39:44","2025-03-05 10:47:06","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","We have different tools and services we would like to offer to a wider audience. Our involved workflow system Galaxy pretty much already handles the market place stuff.","","","","","","","","","Y","Y","DataPLANT advocates an open contribution and collaboration model. We are enabling the community to work following open source software development principles. We are trying to setup some basic framework to support that.","","Y","Y","Public services like GitHUB","","","","","","","","","Y","",""
"40","2025-03-05 15:40:32","3","en","1772463327","2025-03-05 15:34:11","2025-03-05 15:40:32","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","Y","","","Y","","","Y","At the moment, this is just an overview website showcasing all the services relevant for our individual task areas.","","","","","","","","","","","","Y","","Y","At least in parts commitment from participating institutions to further develop and maintain services and software beyond the life-time of the consortium. In addition, there's the hope/wish to develop some semblance of community to ensure widespread use and development beyond the consortium.","","Y","Y","Conferences, workshops, summer/winter schools,...","Y","Y","","","","","Y","","Y","",""
"44","2025-03-06 08:33:11","3","en","269049485","2025-03-06 08:30:30","2025-03-06 08:33:11","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","Y","Y","","","Y","Y","Y","","","","","unsure, as I am not involved in the actual development","unsure as I am not involved in the actual development","","","Y","Y","",""
"52","2025-03-06 09:57:24","3","en","221541114","2025-03-06 09:55:56","2025-03-06 09:57:24","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","Y","","Y","","","","","","","","","","","","Y","","","","","","Y","","","Y","","","","","","","Y","Y","",""
"53","2025-03-06 10:18:09","3","en","84413829","2025-03-06 10:12:51","2025-03-06 10:18:09","","","","","","","","","","","","Y","Y","","","","","","","","Y","","Y","","","","","","Y","","Y","Y","","","Y","we have a gitHub organisation (NFDI4Chem)","","","","","Y","","","","","","","","","Y","","Y","Y","Y","conference presentations and expert discussions","","","","","","","","Y","Y","",""
